IRIS ID;Pot ID;vegetation;zone;plant_species;areareduced_new;mean;se;sd;se2;% change;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BB;;mean;mean2;Spalte9;areareduced_4;areareduced_3;areareduced_2;bottom5;mean3;std_soil_new;Spalte1;Spalte2;areareduced_new
56a;t87;non-veg;high-marsh;soil;0;;;;;-100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.003928844;;;;;;0.001810807;0.358296516;0.246565224;0.388779388;0.180053662;1.831236273;;;0.270894698
56b;t87;non-veg;high-marsh;soil;0.002326097;;;;;-69.95185276;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0.023396467;;0.08551813;;;0;0.27601941;0.138340791;0.211812305;0.138009705;0.776553359;;;0.067248976
57a;t76;non-veg;high-marsh;soil;0.014234477;;;;;83.8786864;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.011898323;;;;;;0.005840872;0.098133293;0.003298558;0.308135462;0.051987083;-1.381345092;;;0.000450011
57b;t76;non-veg;high-marsh;soil;0.000675295;;;;;-91.27664771;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0.022505173;;0.003492958;;;0;0.149635305;0.028889714;0.129840509;0.074817653;-0.808634676;;;0.001623496
58a;t90;non-veg;high-marsh;soil;0.012871175;;;;;66.26777025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.005492042;;;;;;0.003492866;0.336606942;0.274497962;0.420797603;0.170049904;1.580289564;;;0.212856883
58b;t90;non-veg;high-marsh;soil;0.00022299;;;;;-97.11945101;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.164452878;0.019863123;;0.109397218;;;0.104439777;0.250939365;0.168358651;0.273336946;0.177689571;1.771932474;;;0.054787069
59a;t77;non-veg;high-marsh;soil;0.053676298;;;;;593.3817918;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.000110522;;;;;;7.37E-05;0.051848159;0.001950867;0;0.025960917;-2.030948947;;;0.011599424
59b;t77;non-veg;high-marsh;soil;0.003326311;;;;;-57.03124904;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.000862534;0.039503422;;0.003322795;;;0.00093364;0.009049124;7.26E-05;0;0.004991382;-2.30586099;;;0.000718701
60a;t78;non-veg;high-marsh;soil;0.006733251;;;;;-13.02094562;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.013113652;;;;;;0.008843688;0.19963477;0.143534994;0.220280705;0.104239229;-1.004714901;;;0.155079312
60b;t78;non-veg;high-marsh;soil;0;0.007741233;0.002564317;0.011467973;;-100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.006677796;0.041477001;;0.047951831;;;0.003168521;0.134404675;0.05528563;0.173211262;0.068786598;-1.469501328;;;0.016936562
11a;t47;veg;high-marsh;spartina anglica;0.008543777;;;;;10.3671383;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.000442233;;;;;;0.000442054;0.092695398;0.023085074;0.126879333;0.046568726;-1.760779155;;;0.005656358
11b;t47;veg;high-marsh;spartina anglica;0.04100263;;;;;429.6653852;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.010703019;0.034792297;;0.004218983;;;0.005425089;0.121135553;0.010191847;0.1714519;0.063280321;-1.541688997;;;7.43E-05
12a;t28;veg;high-marsh;spartina anglica;0.054049783;;;;;598.206411;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.042897001;;;;;;0.024747325;0.013878744;0.00473653;0.020987079;0.019313034;-2.118103149;;;0.002342949
12b;t28;veg;high-marsh;spartina anglica;0.001609599;;;;;-79.20745878;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.001741212;0.039503422;;0.025317639;;;0.002462519;0.232117208;0.071407668;0.11887903;0.117289863;-0.833620193;;;0.054289392
13a;t34;veg;high-marsh;spartina anglica;0.062970728;;;;;713.4457449;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.022685819;;;;;;0.013674197;0.158948137;0.116528559;0.193658885;0.086311167;-0.520317075;;;0.099333494
13b;t34;veg;high-marsh;spartina anglica;0.027525644;;;;;255.5718458;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0115261;0.02807576;;0.06222105;;;0.007377648;0.233316715;0.158211585;0.168947932;0.120347182;0.333484662;;;0.115338788
14a;t33;veg;high-marsh;spartina anglica;0.003697404;;;;;-52.2375293;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.059900756;;;;;;0.036340666;0.276453973;0.030612245;0.354510892;0.156397319;-0.320918759;;;0.001886656
14b;t33;veg;high-marsh;spartina anglica;0.010095837;;;;;30.41639996;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.002636493;0.050740092;;0.016868781;;;0.001753104;0.535597885;0.124387569;0.501600972;0.268675495;1.151055838;;;0.003051217
15a;t44;veg;high-marsh;spartina anglica;0.006691669;;;;;-13.55809521;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0;0.069255139;0.016236655;0.072606136;0.034627569;-0.802593751;;;0.009220016
15b;t44;veg;high-marsh;spartina anglica;0.003676206;;;;;-52.51136166;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00255102;;;0.003614509;;;0.001326455;0.050191932;0.007590273;0.001116862;0.025759194;-1.047726398;;;0.002687001
11a;t47;veg;high-marsh;spartina anglica;0.000113456;;;;;-98.53439362;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.092425718;;;;;;0.053804994;0.054325208;0.005004482;0.120326885;0.054065101;-0.265316776;;;0.000743716
11b;t47;veg;high-marsh;spartina anglica;0;;;;;-100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.016822638;0.065319115;;0.029012037;;;0.013148283;0.312574316;0.074612403;0.309975941;0.1628613;2.741942202;;;0.006056075
12a;t28;veg;high-marsh;spartina anglica;0.018274774;;;;;136.0705938;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.014575625;;;;;;0.021881677;0.212718186;0.011362798;0.057921906;0.117299932;1.482570696;;;0.008472719
12b;t28;veg;high-marsh;spartina anglica;0.000337458;;;;;-95.64077179;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.012985521;0.071239854;;0.012804278;;;0.008546362;0.071097031;0.038145715;0.16127236;0.039821696;-0.659021777;;;0.015183246
13a;t34;veg;high-marsh;spartina anglica;0.003273322;;;;;-57.71575243;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.005221062;;;;;;0.003831135;0.037545654;0.004321395;0.022868719;0.020688395;-1.187889437;;;0.001536323
13b;t34;veg;high-marsh;spartina anglica;0.001339435;;;;;-82.69739392;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.094889635;0.045806144;;0.027183779;;;0.080861943;0.039141051;0.004322144;0;0.060001497;-0.101227586;;;0.007088095
14a;t33;veg;high-marsh;spartina anglica;0.001115947;;;;;-85.58437599;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.017545784;;;;;;0.016809137;0.02739726;0.000147525;0.001445604;0.022103199;-1.148782537;;;0
14b;t33;veg;high-marsh;spartina anglica;0.011660854;;;;;50.63303807;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.001869364;0.041763489;;0.004891277;;;0.00101722;0.030137192;0.000150955;0.105485797;0.015577206;-1.329168904;;;0.000149959
15a;t44;veg;high-marsh;spartina anglica;0.000548125;;;;;-92.91940933;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.023269077;;;;;;0.015383472;0.197662527;0.042282673;0.216612048;0.106523;-0.013298315;;;0.006617647
15b;t44;veg;high-marsh;spartina anglica;0;0.012826332;0.004113658;0.018396838;;-100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.003579819;;;0.012115809;;;0.022071938;0.278047367;0.086158608;0.262906159;0.150059653;1.078829243;;;0.014996692
21a;t55;veg;low-marsh;atriplex portulacoides;0.047572079;;;;;-23.31417999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.01264251;;;;;;0.008026159;0.057998539;0.016113463;0.010704648;0.033012349;-1.857330922;;;0.007877494
