SlideNumber;MeanROI1;MeanROI2;MeanROI3;MeanROI4;MeanROI5;StDevROI1;StDevROI2;StDevROI3;StDevROI4;StDevROI5;ValidPixelROI1;ValidPixelROI2;ValidPixelROI3;ValidPixelROI4;ValidPixelROI5
111;0.0605000;0.168700;0.0718000;2.08690;-0.246800;127908;139391;1.29525;1.5827;1.20071;7754;7875;6558;3918;6931
112;0.0448000;0.148000;-0.0311000;1.89690;-0.237600;123896;143678;1.2404;1.53233;1.19385;7754;7874;6558;3918;6931
113;0.0285000;0.0606000;-0.0583000;1.66210;-0.214900;129137;137530;1.24885;1.47909;1.18134;7754;7875;6558;3918;6931
114;0.0226000;0.0303000;-0.118500;1.44510;-0.265100;126600;134663;1.24694;1.46161;1.15711;7754;7874;6558;3918;6931
115;0.0334000;0.0852000;-0.131000;1.25970;-0.201800;129841;139078;1.21987;1.45026;1.20838;7754;7876;6558;3918;6931
116;0.0149000;0.00900000;-0.175100;1.05710;-0.235600;125845;136835;1.25226;1.45108;1.22205;7754;7875;6558;3918;6931
117;-0.0464000;0.00790000;-0.169700;0.913700;-0.257200;125449;135622;1.24557;1.35004;1.18951;7754;7877;6558;3918;6931
118;-0.00490000;-0.0238000;-0.185100;0.730800;-0.256800;128342;131246;1.2273;1.35531;1.2115;7754;7872;6558;3918;6931
119;0.000700000;0.0114000;-0.191500;0.640300;-0.260900;131134;128162;1.24016;1.30268;1.19774;7754;7875;6558;3918;6931
120;-0.0432000;-0.0213000;-0.200900;0.504200;-0.285200;124265;125115;1.22957;1.29431;1.17023;7754;7874;6558;3918;6931
121;-0.0636000;-0.0395000;-0.203800;0.399900;-0.256100;125840;127124;1.20487;1.29897;1.21374;7754;7874;6558;3918;6931
122;-0.0778000;-0.0554000;-0.198600;0.280300;-0.264200;124505;125388;1.21735;1.23872;1.18162;7754;7874;6558;3918;6931
123;-0.0618000;-0.0915000;-0.233700;0.140800;-0.302800;125581;124917;1.23327;1.23581;1.19437;7754;7875;6558;3918;6931
124;-0.0311000;-0.0952000;-0.168300;0.200100;-0.271700;126328;125911;1.24189;1.25791;1.16624;7754;7877;6558;3918;6931
125;-0.0363000;-0.0188000;-0.209800;0.105500;-0.247700;124930;123502;1.21186;1.23584;1.17862;7754;7875;6558;3918;6931
126;-0.0471000;-0.0707000;-0.196200;0.107100;-0.232000;127681;125100;1.20731;1.17578;1.18996;7754;7877;6558;3918;6931
127;-0.102200;-0.104100;-0.202500;0.119100;-0.287400;125032;120397;1.20522;1.23328;1.18437;7754;7875;6558;3918;6931
128;-0.0766000;-0.154600;-0.189300;0.0728000;-0.313300;125740;124695;1.23179;1.21396;1.1736;7754;7874;6558;3918;6931
129;-0.100400;-0.0838000;-0.199400;0.0393000;-0.250800;125190;123835;1.2086;1.21253;1.20366;7754;7877;6558;3918;6931
130;-0.114400;-0.0847000;-0.155100;0.127800;-0.286300;123787;123373;1.22717;1.2519;1.18952;7754;7877;6558;3918;6931
131;-0.0429000;-0.114700;-0.186900;0.0881000;-0.250800;126437;121906;1.21392;1.21476;1.20555;7754;7876;6558;3918;6931
132;-0.0476000;-0.155200;-0.182300;0.127100;-0.328000;128210;123396;1.2528;1.21766;1.15721;7754;7876;6558;3918;6930
133;-0.0433000;-0.133100;-0.205400;0.0838000;-0.280700;127337;122187;1.22621;1.26003;1.21664;7754;7877;6558;3918;6931
134;-0.0459000;-0.120500;-0.127200;0.0614000;-0.284300;127783;120493;1.24229;1.273;1.21288;7754;7876;6558;3918;6931
135;-0.108800;-0.121800;-0.201800;0.0325000;-0.250200;123106;123318;1.21595;1.2142;1.1918;7754;7872;6558;3918;6931
136;-0.137500;-0.174900;-0.184300;0.0559000;-0.239700;122923;120292;1.25242;1.16545;1.207;7754;7876;6558;3918;6931
137;-0.0845000;-0.165200;-0.189800;0.109200;-0.304700;125843;122328;1.2424;1.21727;1.17297;7754;7875;6558;3918;6931
138;-0.0260000;-0.151500;-0.182300;0.126700;-0.307600;123790;122610;1.29585;1.22448;1.19328;7754;7876;6558;3918;6931
139;-0.0676000;-0.166300;-0.226500;-0.00160000;-0.272700;125576;121095;1.25068;1.23263;1.16723;7754;7877;6558;3918;6931
140;-0.0760000;-0.139200;-0.207100;0.00740000;-0.233100;125848;121239;1.25677;1.22115;1.19358;7754;7874;6558;3918;6931
141;-0.0580000;-0.132300;-0.185700;0.0459000;-0.275500;125597;120420;1.27553;1.21017;1.19037;7754;7873;6558;3918;6931
142;-0.0758000;-0.115300;-0.198100;0.0267000;-0.223200;128571;123538;1.25371;1.21369;1.20596;7754;7875;6558;3918;6931
143;-0.0769000;-0.119800;-0.200900;0.131700;-0.295700;125386;120564;1.23734;1.20725;1.1771;7754;7876;6558;3918;6931
144;-0.0843000;-0.143500;-0.213700;0.135300;-0.227700;126217;121593;1.19043;1.25075;1.22441;7754;7876;6558;3918;6931
145;-0.0961000;-0.174400;-0.195000;0.0499000;-0.248000;124174;118929;1.25049;1.22662;1.17014;7754;7873;6558;3918;6931
146;-0.106700;-0.151300;-0.217000;0.112600;-0.269300;128929;120323;1.24068;1.26314;1.17365;7754;7876;6558;3918;6931
147;-0.0460000;-0.140500;-0.182700;0.0148000;-0.268200;123724;123501;1.23791;1.21594;1.18041;7754;7876;6558;3918;6931
148;-0.0345000;-0.167600;-0.162900;0.0640000;-0.242500;123111;120167;1.25286;1.25545;1.19344;7754;7876;6558;3918;6931
149;-0.0590000;-0.121600;-0.185300;0.0532000;-0.309400;123623;121504;1.22568;1.23696;1.19284;7754;7877;6558;3918;6931
150;-0.0799000;-0.199000;-0.174400;0.000000;-0.308500;124212;117374;1.22557;1.20851;1.19047;7754;7877;6558;3918;6931
151;-0.0755000;-0.126100;-0.193600;0.0997000;-0.306000;125735;122044;1.24705;1.25119;1.19337;7754;7876;6558;3918;6931
152;-0.103500;-0.141100;-0.151000;0.140800;-0.258700;126951;120261;1.22141;1.21574;1.17487;7754;7874;6558;3918;6931
153;-0.0812000;-0.147200;-0.238900;0.0237000;-0.312000;127041;120162;1.22179;1.19899;1.19795;7754;7876;6558;3918;6931
154;-0.100300;-0.180100;-0.168800;0.0192000;-0.251800;124485;120849;1.23275;1.22183;1.20528;7754;7877;6558;3918;6931
155;-0.0515000;-0.132900;-0.173800;-0.0245000;-0.278200;125065;117932;1.23121;1.16643;1.17837;7754;7873;6558;3918;6931
156;-0.0470000;-0.120500;-0.191100;0.0627000;-0.290300;127824;121881;1.23393;1.23065;1.19348;7754;7874;6558;3918;6931
157;-0.0884000;-0.148600;-0.217300;0.0659000;-0.218400;124028;116968;1.22813;1.23982;1.17837;7754;7875;6558;3918;6931
158;-0.0547000;-0.180000;-0.172900;0.0544000;-0.258600;124827;117880;1.22469;1.20003;1.1934;7754;7872;6558;3918;6931
159;-18.0802;-18.0802;-18.0802;-18.0802;-18.0802;#ZAHL!;#ZAHL!;NaN;NaN;NaN;1;1;1;1;1
160;-0.0673000;-0.119000;-0.169800;0.0506000;-0.258700;128971;123758;1.21736;1.20754;1.20454;7754;7876;6558;3918;6931
161;-0.0849000;-0.148700;-0.184900;0.0624000;-0.319300;127963;120047;1.24799;1.21509;1.18482;7754;7874;6558;3918;6931
162;-0.0671000;-0.142300;-0.215400;0.0287000;-0.292400;129084;121120;1.21664;1.18244;1.18461;7754;7875;6558;3918;6931
163;-0.0451000;-0.113500;-0.236600;0.107400;-0.225800;126750;116952;1.22023;1.24106;1.18537;7754;7875;6558;3918;6931
164;-0.0943000;-0.182000;-0.143800;0.0617000;-0.273000;124399;118059;1.24287;1.20697;1.18921;7754;7876;6558;3918;6931
165;-0.0519000;-0.124800;-0.171200;0.0191000;-0.299400;127925;119592;1.26419;1.19505;1.19989;7754;7875;6558;3918;6931
166;-0.0736000;-0.183200;-0.203800;0.108400;-0.213000;122766;119680;1.27486;1.2403;1.17519;7754;7873;6558;3918;6931
167;-0.141600;-0.200500;-0.234300;0.00440000;-0.218800;124888;122899;1.24199;1.2079;1.19773;7754;7874;6558;3918;6931
168;-0.0315000;-0.137300;-0.137500;0.0553000;-0.243500;125699;121108;1.23276;1.20092;1.17115;7754;7874;6558;3918;6931
169;-0.0500000;-0.164000;-0.0997000;0.0572000;-0.271800;126791;120569;1.22705;1.18041;1.17406;7754;7877;6558;3918;6931
170;-0.0307000;-0.204900;-0.168400;-0.0193000;-0.280200;126904;122536;1.23077;1.21502;1.21793;7754;7874;6558;3918;6931
171;-0.0441000;-0.160900;-0.218300;0.0262000;-0.255200;125435;120929;1.24416;1.19448;1.18844;7754;7876;6558;3918;6931
172;-0.0382000;-0.164700;-0.194300;0.0335000;-0.230500;125836;120518;1.25086;1.19871;1.20254;7754;7875;6558;3918;6931
173;-0.0163000;-0.163000;-0.122900;0.0963000;-0.241000;127047;120043;1.23916;1.22357;1.19214;7754;7877;6558;3918;6931
174;-0.0415000;-0.148000;-0.113300;0.0852000;-0.235500;125587;121467;1.19616;1.24084;1.18792;7754;7876;6558;3918;6931
